31,61,DE,M,,Carsten Maestrini,Carsten,Maestrini,1948-07-08,M?nzstr. 28,3.940108887e+09,28,2030
32,63,US,M,,James Klisurich,James,Klisurich,1973-12-25,25 Briarforest Pl,9.260125492e+09,25,2020
33,65,DE,F,,Ines Deisser,Ines,Deisser,1973-07-20,Bahnweg 1,3.940100176e+09,1,1020
34,69,US,F,,Patricia Bertolozzi,Patricia,Bertolozzi,1983-05-13,4948 Dargan Hills Dr,9.260116402e+09,4948,1020
35,71,US,F,,Viola Folsom,Viola,Folsom,1973-09-23,290 Glenwood Ave,9.26012413e+09,290,2020
36,75,US,M,,Mikel Spetz,Mikel,Spetz,1988-06-18,101 Knoll Ridge Ln,9.260108068e+09,101,1020
37,79,US,F,,Najma Hicks,Najma,Hicks,1990-01-22,9658 Dinwiddie Ct,9.260101874e+09,9658,1030
38,88,US,M,,Attila Gibbs,Attila,Gibbs,1963-02-19,3815 Askham Dr,9.260100179e+09,3815,1030
39,89,US,F,,Wynella Lewis,Wynella,Lewis,1938-09-28,2572 Glenharden Dr,9.260116551e+09,2572,1040
40,90,US,F,,Kyndal Hooks,Kyndal,Hooks,1968-08-01,252 Clay St,9.260111614e+09,252,2030
41,92,US,M,,Lendon Celii,Lendon,Celii,1948-09-14,421 Blue Horizon Dr,9.260117676e+09,421,1020
42,111,AU,F,,Karolina Dokter,Karolina,Dokter,1978-12-28,28 Munibung Road,1.600102072e+09,28,1030
43,171,AU,M,,Robert Bowerman,Robert,Bowerman,1978-02-22,21 Parliament House c/- Senator t,1.600101555e+09,21,1040
44,183,AU,M,,Duncan Robertshawe,Duncan,Robertshawe,1948-03-25,18 Fletcher Rd,1.60010076e+09,18,1020
45,195,AU,M,,Cosi Rimmington,Cosi,Rimmington,1948-11-11,4 Burke Street Woolloongabba,1.600101663e+09,4,1020
46,215,AU,M,,Ramesh Trentholme,Ramesh,Trentholme,1953-05-16,23 Benjamin Street,1.600102721e+09,23,2020
47,544,TR,M,,Avni Argac,Avni,Argac,1968-05-20,A Blok No: 1,9.050100008e+09,1,1040
48,908,TR,M,,Avni Umran,Avni,Umran,1983-12-06,Mayis Cad. Nova Baran Plaza Ka 11,9.050100023e+09,11,2030
49,928,TR,M,,Bulent Urfalioglu,Bulent,Urfalioglu,1973-08-11,Turkcell Plaza Mesrutiyet Cad. 142,9.050100016e+09,142,1020
50,1033,TR,M,,Selim Okay,Selim,Okay,1983-10-14,Fahrettin Kerim Gokay Cad. No. 24,9.050100001e+09,24,1020
51,1100,TR,M,,Ahmet Canko,Ahmet,Canko,1968-01-19,A Blok No: 1,9.050100008e+09,1,1020
52,1684,TR,M,,Carglar Aydemir,Carglar,Aydemir,1978-10-17,A Blok No: 1,9.050100008e+09,1,1020
53,2550,ZA,F,,Sanelisiwe Collier,Sanelisiwe,Collier,1992-07-07,Bryanston Drive 122,8.010100009e+09,122,2010
54,2618,ZA,M,,Theunis Brazier,Theunis,Brazier,1953-03-21,Arnold Road 2,8.010100125e+09,2,1030
55,2788,TR,M,,Serdar Yucel,Serdar,Yucel,1948-01-02,Fahrettin Kerim Gokay Cad. No. 30,9.050100001e+09,30,1040
56,2806,ZA,F,,Raedene Van Den Berg,Raedene,Van Den Berg,1992-09-16,Quinn Street 11,8.010100089e+09,11,1030
57,3959,ZA,F,,Rita Lotz,Rita,Lotz,1968-02-24,Moerbei Avenue 120,8.010100151e+09,120,2030
58,11171,CA,M,,Bill Cuddy,Bill,Cuddy,1990-10-16,69 chemin Martin,2.600100032e+09,69,2010
59,12386,IL,M,,Avinoam Zweig,Avinoam,Zweig,1963-05-12,Mivtza Kadesh St 16,4.750100001e+09,16,3010
60,14104,IL,M,,Avinoam Zweig,Avinoam,Zweig,1968-10-10,Mivtza Kadesh St 25,4.750100001e+09,25,1030
61,14703,IL,M,,Eyal Bloch,Eyal,Bloch,1973-09-24,Mivtza Boulevard 17,4.750100002e+09,17,1040
62,17023,CA,F,,Susan Krasowski,Susan,Krasowski,1963-07-09,837 rue Lajeunesse,2.600100021e+09,837,2030
63,19444,IL,M,,Avinoam Zweig,Avinoam,Zweig,1963-09-28,Mivtza Kadesh St 61,4.750100001e+09,61,1040
64,19873,IL,M,,Avinoam Tuvia,Avinoam,Tuvia,1988-06-14,Mivtza Kadesh St 18,4.750100001e+09,18,2030
65,26148,CA,M,,Andreas Rennie,Andreas,Rennie,1938-07-18,41 Main St,2.60010001e+09,41,1030
66,46966,CA,F,,Lauren Krasowski,Lauren,Krasowski,1990-10-24,17 boul Wallberg,2.600100011e+09,17,1040
67,54655,CA,F,,Lauren Marx,Lauren,Marx,1973-08-18,512 Gregoire Dr,2.600100013e+09,512,3010
68,70046,CA,M,,Tommy Mcdonald,Tommy,Mcdonald,1963-01-20,818 rue Davis,2.600100017e+09,818,1020
69,70059,CA,M,,Colin Byarley,Colin,Byarley,1938-01-20,580 Howe St,2.600100047e+09,580,1030
70,70079,CA,F,,Lera Knott,Lera,Knott,1990-07-11,304 Grand Lake Rd,2.600100039e+09,304,1030
71,70100,CA,F,,Wilma Yeargan,Wilma,Yeargan,1988-06-23,614 Route 199,2.600100015e+09,614,1030
72,70108,CA,M,,Patrick Leach,Patrick,Leach,1943-04-14,1001 Burrard St,2.600100046e+09,1001,1020
73,70165,CA,F,,Portia Reynoso,Portia,Reynoso,1968-02-11,873 rue Bosse,2.600100006e+09,873,1020
74,70187,CA,F,,Soberina Berent,Soberina,Berent,1990-09-27,1835 boul Laure,2.600100035e+09,1835,1030
75,70201,CA,F,,Angel Borwick,Angel,Borwick,1973-12-19,319 122 Ave NW,2.600100012e+09,319,2010
76,70210,CA,M,,Alex Santinello,Alex,Santinello,1990-04-22,40 Route 199,2.600100015e+09,40,1030
77,70221,CA,M,,Kenan Talarr,Kenan,Talarr,1968-02-10,9 South Service Rd,2.600100019e+09,9,1040
